code,datetime,score,vol_ratio_20,vol_ratio_slot,chart_path
005380,2026-02-27 11:51:00,2.6665159646516363,8.010607766919751,40.29162403157433,charts/005380_20260227_1151.png
005490,2026-02-12 10:27:00,2.3195330571203603,5.047288492058372,35.70463672873312,charts/005490_20260212_1027.png
086520,2026-02-25 13:49:00,2.3121890780821603,3.960803148463604,34.24244234675589,charts/086520_20260225_1349.png
006400,2026-02-27 13:47:00,2.2983361840303953,13.231351063056076,15.236739251814628,charts/006400_20260227_1347.png
006400,2026-02-25 13:15:00,2.2427884167945935,10.249428086488082,15.885851538373556,charts/006400_20260225_1315.png
247540,2026-01-26 10:28:00,2.21795504164444,3.8084073855012153,33.733943506391036,charts/247540_20260126_1028.png
005490,2026-01-28 13:15:00,2.148804216749337,8.327138874991066,14.944202154951256,charts/005490_20260128_1315.png
196170,2026-02-19 10:01:00,2.0970591792499857,10.115616764430843,11.040081647801077,charts/196170_20260219_1001.png
066570,2026-02-11 09:33:00,2.086080487598368,3.5407107122551684,25.35292693262304,charts/066570_20260211_0933.png
005380,2026-02-19 13:02:00,2.0604941457832058,7.491095819357516,14.243868761917286,charts/005380_20260219_1302.png
086520,2026-02-19 10:08:00,2.01055311300622,7.172546093999786,9.588501508548442,charts/086520_20260219_1008.png
006400,2026-01-30 14:50:00,2.0063507898672293,5.104155569286714,12.204673595543781,charts/006400_20260130_1450.png
005490,2026-02-05 10:10:00,2.0031561548851,7.268918027983298,10.896512342967585,charts/005490_20260205_1010.png
000660,2026-01-28 09:53:00,2.0029535818190847,6.28156507630766,11.340798245360885,charts/000660_20260128_0953.png
006400,2026-02-19 14:50:00,1.9719215125496143,3.3251990752632934,17.53386222910217,charts/006400_20260219_1450.png
086520,2026-01-26 12:54:00,1.9635175234580688,4.040612478152782,14.75593812172642,charts/086520_20260126_1254.png
000660,2026-01-23 12:06:00,1.9436565382965338,9.167305390252935,8.285180572851806,charts/000660_20260123_1206.png
051910,2026-02-10 13:24:00,1.9124406210780789,9.195819679390667,7.553470100392842,charts/051910_20260210_1324.png
000660,2026-02-20 10:33:00,1.8819082719065952,10.937327920108265,6.1830192263047925,charts/000660_20260220_1033.png
005490,2026-01-29 14:23:00,1.8733983409538555,8.461565375599175,7.88471570161711,charts/005490_20260129_1423.png
068270,2026-02-04 11:05:00,1.8485244611215406,12.406836242243912,5.420074820873756,charts/068270_20260204_1105.png
055550,2026-02-11 11:33:00,1.8151295457308219,3.993706943815403,12.99364045292384,charts/055550_20260211_1133.png
068270,2026-01-28 10:46:00,1.8090832229463476,4.574420098689156,9.39950567351983,charts/068270_20260128_1046.png
000270,2026-02-11 12:52:00,1.8044705417913927,9.750176553672317,6.746686213426181,charts/000270_20260211_1252.png
066570,2026-02-09 10:08:00,1.7813338898817321,6.360643104837297,7.432465618860511,charts/066570_20260209_1008.png
034730,2026-01-23 09:20:00,1.7725994935614544,8.306557297480948,5.086387953239549,charts/034730_20260123_0920.png
000270,2026-02-27 14:09:00,1.7601090887542592,5.55371185340163,7.146684350132626,charts/000270_20260227_1409.png
000660,2026-01-27 12:38:00,1.7525872733240329,4.17911899522171,10.245618218671755,charts/000660_20260127_1238.png
035720,2026-02-09 10:05:00,1.7481878364667403,8.680534638554217,5.828719504487423,charts/035720_20260209_1005.png
005380,2026-02-11 09:55:00,1.7372271251991016,3.9881217699285623,9.532104808522892,charts/005380_20260211_0955.png
005380,2026-01-29 09:18:00,1.7266146696024196,4.396718739874551,5.289005873985117,charts/005380_20260129_0918.png
005380,2026-02-03 12:06:00,1.7251457902903442,7.060825294748124,6.281525625744934,charts/005380_20260203_1206.png
066570,2026-02-19 11:22:00,1.6990379286514838,9.804417889361451,4.196714289313881,charts/066570_20260219_1122.png
196170,2026-02-23 10:15:00,1.6907242879421502,5.662310402558784,6.9852034525277436,charts/196170_20260223_1015.png
086520,2026-02-27 13:33:00,1.6860691652620141,8.460154998201498,4.7187568395710215,charts/086520_20260227_1333.png
086520,2026-02-09 14:47:00,1.6846348542670437,4.4070458365094085,7.14113515283193,charts/086520_20260209_1447.png
035720,2026-01-26 10:51:00,1.6773169266974541,4.616060200802411,7.701927480121561,charts/035720_20260126_1051.png
086520,2026-01-27 10:13:00,1.6675430704624323,3.0108704528314574,6.825749016511713,charts/086520_20260127_1013.png
247540,2026-01-30 15:09:00,1.6611617448345566,5.0063318433536175,6.389432485322897,charts/247540_20260130_1509.png
003670,2026-02-25 11:34:00,1.6415804443910684,3.023008034094509,9.8758231420508,charts/003670_20260225_1134.png
